batch_index,universe_index,symbol,source_symbol,market,asset_class,tradability,returncode,cache_path,metadata_path,error
1,80,ASHR,US.ASHR,US_ETF,ETF,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,0,data_cache_moomoo_batch81_140/US_ETF/US.ASHR.csv,data_cache_moomoo_batch81_140/US_ETF/US.ASHR.metadata.json,
2,81,CQQQ,US.CQQQ,US_ETF,ETF,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,0,data_cache_moomoo_batch81_140/US_ETF/US.CQQQ.csv,data_cache_moomoo_batch81_140/US_ETF/US.CQQQ.metadata.json,
3,82,AAPL,US.AAPL,US_STOCK,STOCK,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,0,data_cache_moomoo_batch81_140/US_STOCK/US.AAPL.csv,data_cache_moomoo_batch81_140/US_STOCK/US.AAPL.metadata.json,
4,83,MSFT,US.MSFT,US_STOCK,STOCK,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,0,data_cache_moomoo_batch81_140/US_STOCK/US.MSFT.csv,data_cache_moomoo_batch81_140/US_STOCK/US.MSFT.metadata.json,
5,84,NVDA,US.NVDA,US_STOCK,STOCK,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,0,data_cache_moomoo_batch81_140/US_STOCK/US.NVDA.csv,data_cache_moomoo_batch81_140/US_STOCK/US.NVDA.metadata.json,
6,85,AMZN,US.AMZN,US_STOCK,STOCK,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,0,data_cache_moomoo_batch81_140/US_STOCK/US.AMZN.csv,data_cache_moomoo_batch81_140/US_STOCK/US.AMZN.metadata.json,
7,86,META,US.META,US_STOCK,STOCK,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,0,data_cache_moomoo_batch81_140/US_STOCK/US.META.csv,data_cache_moomoo_batch81_140/US_STOCK/US.META.metadata.json,
8,87,GOOGL,US.GOOGL,US_STOCK,STOCK,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,0,data_cache_moomoo_batch81_140/US_STOCK/US.GOOGL.csv,data_cache_moomoo_batch81_140/US_STOCK/US.GOOGL.metadata.json,
9,88,GOOG,US.GOOG,US_STOCK,STOCK,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,0,data_cache_moomoo_batch81_140/US_STOCK/US.GOOG.csv,data_cache_moomoo_batch81_140/US_STOCK/US.GOOG.metadata.json,
10,89,TSLA,US.TSLA,US_STOCK,STOCK,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,0,data_cache_moomoo_batch81_140/US_STOCK/US.TSLA.csv,data_cache_moomoo_batch81_140/US_STOCK/US.TSLA.metadata.json,
11,90,BRK-B,US.BRK-B,US_STOCK,STOCK,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,1,,,request_history_kline failed: Unknown stock. BRK-B
12,91,JPM,US.JPM,US_STOCK,STOCK,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,0,data_cache_moomoo_batch81_140/US_STOCK/US.JPM.csv,data_cache_moomoo_batch81_140/US_STOCK/US.JPM.metadata.json,
13,92,V,US.V,US_STOCK,STOCK,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,0,data_cache_moomoo_batch81_140/US_STOCK/US.V.csv,data_cache_moomoo_batch81_140/US_STOCK/US.V.metadata.json,
14,93,MA,US.MA,US_STOCK,STOCK,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,0,data_cache_moomoo_batch81_140/US_STOCK/US.MA.csv,data_cache_moomoo_batch81_140/US_STOCK/US.MA.metadata.json,
15,94,UNH,US.UNH,US_STOCK,STOCK,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,0,data_cache_moomoo_batch81_140/US_STOCK/US.UNH.csv,data_cache_moomoo_batch81_140/US_STOCK/US.UNH.metadata.json,
16,95,HD,US.HD,US_STOCK,STOCK,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,0,data_cache_moomoo_batch81_140/US_STOCK/US.HD.csv,data_cache_moomoo_batch81_140/US_STOCK/US.HD.metadata.json,
17,96,PG,US.PG,US_STOCK,STOCK,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,0,data_cache_moomoo_batch81_140/US_STOCK/US.PG.csv,data_cache_moomoo_batch81_140/US_STOCK/US.PG.metadata.json,
18,97,COST,US.COST,US_STOCK,STOCK,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,0,data_cache_moomoo_batch81_140/US_STOCK/US.COST.csv,data_cache_moomoo_batch81_140/US_STOCK/US.COST.metadata.json,
19,98,NFLX,US.NFLX,US_STOCK,STOCK,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,0,data_cache_moomoo_batch81_140/US_STOCK/US.NFLX.csv,data_cache_moomoo_batch81_140/US_STOCK/US.NFLX.metadata.json,
20,99,ADBE,US.ADBE,US_STOCK,STOCK,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,0,data_cache_moomoo_batch81_140/US_STOCK/US.ADBE.csv,data_cache_moomoo_batch81_140/US_STOCK/US.ADBE.metadata.json,
21,100,CRM,US.CRM,US_STOCK,STOCK,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,0,data_cache_moomoo_batch81_140/US_STOCK/US.CRM.csv,data_cache_moomoo_batch81_140/US_STOCK/US.CRM.metadata.json,
22,101,ORCL,US.ORCL,US_STOCK,STOCK,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,1,,,request_history_kline failed: Insufficient historical candlestick quota. Request failed. Quota is released on a rolling basis and will be fully released after 30 days.
23,102,CSCO,US.CSCO,US_STOCK,STOCK,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,1,,,request_history_kline failed: Insufficient historical candlestick quota. Request failed. Quota is released on a rolling basis and will be fully released after 30 days.
24,103,AVGO,US.AVGO,US_STOCK,STOCK,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,1,,,request_history_kline failed: Insufficient historical candlestick quota. Request failed. Quota is released on a rolling basis and will be fully released after 30 days.
25,104,AMD,US.AMD,US_STOCK,STOCK,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,1,,,request_history_kline failed: Insufficient historical candlestick quota. Request failed. Quota is released on a rolling basis and will be fully released after 30 days.
26,105,INTC,US.INTC,US_STOCK,STOCK,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,1,,,request_history_kline failed: Insufficient historical candlestick quota. Request failed. Quota is released on a rolling basis and will be fully released after 30 days.
27,106,QCOM,US.QCOM,US_STOCK,STOCK,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,1,,,request_history_kline failed: Insufficient historical candlestick quota. Request failed. Quota is released on a rolling basis and will be fully released after 30 days.
28,107,TXN,US.TXN,US_STOCK,STOCK,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,1,,,request_history_kline failed: Insufficient historical candlestick quota. Request failed. Quota is released on a rolling basis and will be fully released after 30 days.
29,108,AMAT,US.AMAT,US_STOCK,STOCK,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,1,,,request_history_kline failed: Insufficient historical candlestick quota. Request failed. Quota is released on a rolling basis and will be fully released after 30 days.
30,109,MU,US.MU,US_STOCK,STOCK,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,1,,,request_history_kline failed: Insufficient historical candlestick quota. Request failed. Quota is released on a rolling basis and will be fully released after 30 days.
31,110,IBM,US.IBM,US_STOCK,STOCK,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,1,,,request_history_kline failed: Insufficient historical candlestick quota. Request failed. Quota is released on a rolling basis and will be fully released after 30 days.
32,111,NOW,US.NOW,US_STOCK,STOCK,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,1,,,request_history_kline failed: Insufficient historical candlestick quota. Request failed. Quota is released on a rolling basis and will be fully released after 30 days.
33,112,PANW,US.PANW,US_STOCK,STOCK,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,1,,,request_history_kline failed: Insufficient historical candlestick quota. Request failed. Quota is released on a rolling basis and will be fully released after 30 days.
34,113,SHOP,US.SHOP,US_STOCK,STOCK,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,1,,,request_history_kline failed: Insufficient historical candlestick quota. Request failed. Quota is released on a rolling basis and will be fully released after 30 days.
35,114,PLTR,US.PLTR,US_STOCK,STOCK,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,1,,,request_history_kline failed: Insufficient historical candlestick quota. Request failed. Quota is released on a rolling basis and will be fully released after 30 days.
36,115,SNOW,US.SNOW,US_STOCK,STOCK,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,1,,,request_history_kline failed: Insufficient historical candlestick quota. Request failed. Quota is released on a rolling basis and will be fully released after 30 days.
37,116,UBER,US.UBER,US_STOCK,STOCK,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,1,,,request_history_kline failed: Insufficient historical candlestick quota. Request failed. Quota is released on a rolling basis and will be fully released after 30 days.
38,117,ABNB,US.ABNB,US_STOCK,STOCK,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,1,,,request_history_kline failed: Insufficient historical candlestick quota. Request failed. Quota is released on a rolling basis and will be fully released after 30 days.
39,118,BKNG,US.BKNG,US_STOCK,STOCK,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,1,,,request_history_kline failed: Insufficient historical candlestick quota. Request failed. Quota is released on a rolling basis and will be fully released after 30 days.
40,119,DIS,US.DIS,US_STOCK,STOCK,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,1,,,request_history_kline failed: Insufficient historical candlestick quota. Request failed. Quota is released on a rolling basis and will be fully released after 30 days.
41,120,CMCSA,US.CMCSA,US_STOCK,STOCK,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,1,,,request_history_kline failed: Insufficient historical candlestick quota. Request failed. Quota is released on a rolling basis and will be fully released after 30 days.
42,121,PEP,US.PEP,US_STOCK,STOCK,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,1,,,request_history_kline failed: Insufficient historical candlestick quota. Request failed. Quota is released on a rolling basis and will be fully released after 30 days.
43,122,KO,US.KO,US_STOCK,STOCK,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,1,,,request_history_kline failed: Insufficient historical candlestick quota. Request failed. Quota is released on a rolling basis and will be fully released after 30 days.
44,123,MCD,US.MCD,US_STOCK,STOCK,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,1,,,request_history_kline failed: Insufficient historical candlestick quota. Request failed. Quota is released on a rolling basis and will be fully released after 30 days.
45,124,NKE,US.NKE,US_STOCK,STOCK,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,1,,,request_history_kline failed: Insufficient historical candlestick quota. Request failed. Quota is released on a rolling basis and will be fully released after 30 days.
46,125,SBUX,US.SBUX,US_STOCK,STOCK,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,1,,,request_history_kline failed: Insufficient historical candlestick quota. Request failed. Quota is released on a rolling basis and will be fully released after 30 days.
47,126,WMT,US.WMT,US_STOCK,STOCK,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,1,,,request_history_kline failed: Insufficient historical candlestick quota. Request failed. Quota is released on a rolling basis and will be fully released after 30 days.
48,127,TGT,US.TGT,US_STOCK,STOCK,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,1,,,request_history_kline failed: Insufficient historical candlestick quota. Request failed. Quota is released on a rolling basis and will be fully released after 30 days.
49,128,LOW,US.LOW,US_STOCK,STOCK,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,1,,,request_history_kline failed: Insufficient historical candlestick quota. Request failed. Quota is released on a rolling basis and will be fully released after 30 days.
50,129,CAT,US.CAT,US_STOCK,STOCK,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,1,,,request_history_kline failed: Insufficient historical candlestick quota. Request failed. Quota is released on a rolling basis and will be fully released after 30 days.
51,130,DE,US.DE,US_STOCK,STOCK,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,1,,,request_history_kline failed: Insufficient historical candlestick quota. Request failed. Quota is released on a rolling basis and will be fully released after 30 days.
52,131,BA,US.BA,US_STOCK,STOCK,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,1,,,request_history_kline failed: Insufficient historical candlestick quota. Request failed. Quota is released on a rolling basis and will be fully released after 30 days.
53,132,GE,US.GE,US_STOCK,STOCK,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,1,,,request_history_kline failed: Insufficient historical candlestick quota. Request failed. Quota is released on a rolling basis and will be fully released after 30 days.
54,133,RTX,US.RTX,US_STOCK,STOCK,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,1,,,request_history_kline failed: Insufficient historical candlestick quota. Request failed. Quota is released on a rolling basis and will be fully released after 30 days.
55,134,LMT,US.LMT,US_STOCK,STOCK,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,1,,,request_history_kline failed: Insufficient historical candlestick quota. Request failed. Quota is released on a rolling basis and will be fully released after 30 days.
56,135,XOM,US.XOM,US_STOCK,STOCK,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,1,,,request_history_kline failed: Insufficient historical candlestick quota. Request failed. Quota is released on a rolling basis and will be fully released after 30 days.
57,136,CVX,US.CVX,US_STOCK,STOCK,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,1,,,request_history_kline failed: Insufficient historical candlestick quota. Request failed. Quota is released on a rolling basis and will be fully released after 30 days.
58,137,COP,US.COP,US_STOCK,STOCK,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,1,,,request_history_kline failed: Insufficient historical candlestick quota. Request failed. Quota is released on a rolling basis and will be fully released after 30 days.
59,138,SLB,US.SLB,US_STOCK,STOCK,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,1,,,request_history_kline failed: Insufficient historical candlestick quota. Request failed. Quota is released on a rolling basis and will be fully released after 30 days.
60,139,NEE,US.NEE,US_STOCK,STOCK,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,1,,,request_history_kline failed: Insufficient historical candlestick quota. Request failed. Quota is released on a rolling basis and will be fully released after 30 days.
