function_id,nav_group,nav_order,name_zh,name_en,purpose,primary_question,default_visualization,inputs,outputs,primary_actions,domain_objects,data_tables,api_paths,priority,spec_status,prototype_status,implementation_status,task_ids,acceptance_ids,risk_ids,source_doc
FUN-EXP-01,探索,10,商业版图,Business Empire Map,以当前公司为中心呈现商业帝国、关键关系与跨行业连接。,这家公司由哪些业务、关系、资本、政策与战略依赖共同构成？,多层关系网络 + 语义缩放 + 时间变化,focus_entity_id; as_of; relationship_filters; model_profile,局部子图; 关键路径; 节点优先级; 证据摘要,选择; 展开; 设为研究中心; 保存; 比较; 导出,company; group; subsidiary; business_unit; product; facility; person; policy; event,entities; relationships; evidence_items; score_results; exploration_sessions,/v1/explore;/v1/explore/reroot;/v1/entities/{entityId}/empire,P0,DONE,DONE,PARTIAL,"T400,T401,T402,T403,T404,T405,T406,T407,T408,T1103,T1104,T1105,T1106,T1107,T1108,T1109,T1110,T1111,T1302,T1308",A041-A058;A133-A157;A193;A203;A211,"R004,R006,R009,R035,R038",docs/13_RECURSIVE_BUSINESS_EMPIRE_EXPLORER.md
FUN-EXP-02,探索,20,全链供应链,End-to-End Supply Chain,按阶段追踪原材料、设备、制造、封装、系统、基础设施与客户。,完整上下游链条、瓶颈、替代性与依赖在哪里？,分阶段流图 + Sankey + 关键路径,focus_entity_id; stage_range; direction; geography; evidence_threshold,上游; 下游; 阶段覆盖; 单点风险; 替代候选,按阶段钻取; 展开上游/下游; 锁定瓶颈; 切换主体,supplier; customer; product; material; equipment; facility; logistics; energy_asset,relationships; supply_chain_stages; facilities; products; evidence_items,/v1/entities/{entityId}/supply-chain;/v1/explore/expand;/v1/paths,P0,DONE,DONE,NOT_STARTED,"T201,T205,T502,T507,T1105,T1301,T1306",A016;A020-A021;A064-A068;A137-A145;A188;A192;A202;A208,"R002,R005,R010,R037",docs/17_SUPPLY_CHAIN_RESEARCH_AND_EXPANSION_RULES.md
FUN-EXP-03,探索,30,集团业务与子板块,Group and Business Segments,解析集团、法人实体、业务单元、品牌、产品线、设施和地区层级。,集团内部由哪些子公司、业务板块和经营资产构成？,分层树图 + 组合矩阵 + 地域分布,focus_entity_id; hierarchy_type; as_of,集团层级; 业务板块; 子公司; 设施; 产品线,展开层级; 切换法人与业务视角; 设为主体,group; legal_entity; subsidiary; joint_venture; business_unit; brand; product_line; facility,entities; entity_hierarchy; business_segments; facilities,/v1/entities/{entityId}/empire;/v1/entities/{entityId},P0,DONE,PARTIAL,PARTIAL,"T200,T204,T500,T501,T506,T1301,T1308",A011-A015;A017-A018;A059-A063;A190;A202;A211,"R001,R003,R036",docs/31_DOMAIN_OBJECT_SCOPE_CATALOG.md
FUN-EXP-04,探索,40,资金与并购,"Capital, Financing and M&A",呈现融资、投资、并购、资本开支、回购、债务和承诺资金的方向与语义。,资金从哪里来、流向哪里、以什么工具和条件发生？,资金流 Sankey + 交易网络 + 时间轴,focus_entity_id; period; amount_kind; transaction_type; currency,资本流; 融资事件; 并购; 投资组合; 金额置信度,按金额/类型筛选; 打开交易证据; 比较期间; 切换主体,security; investor; fund; lender; transaction; acquisition; capex_program; contract,capital_events; transactions; securities; amount_facts; evidence_items,/v1/events;/v1/entities/{entityId}/capital;/v1/transactions/{id},P0,DONE,PARTIAL,NOT_STARTED,"T503,T800,T801,T805",A069-A071;A108-A110;A191,"R007,R011,R039",docs/31_DOMAIN_OBJECT_SCOPE_CATALOG.md
FUN-EXP-05,探索,50,所有权与控制,Ownership and Control,区分经济权益、投票权、董事任命、特殊权利与实际控制链。,谁拥有、投票、任命、否决或实际影响这家公司？,控制树 + 经济/投票双轴 + 穿透路径,focus_entity_id; as_of; control_type; minimum_percentage,股权链; 投票权; 董事权; 最终受益人; 控制争议,穿透; 切换经济/投票; 查看有效期; 打开证据,shareholder; beneficial_owner; security_class; board_member; governance_right,ownership_positions; governance_rights; relationships; evidence_items,/v1/entities/{entityId}/ownership;/v1/paths,P0,DONE,PARTIAL,NOT_STARTED,"T201,T500,T503,T506",A020-A023;A069-A071;A137-A140;A187,"R003,R008,R036",docs/04_DATA_MODEL.md
FUN-EXP-06,探索,60,政策与政府,Policy and Government,关联政策、监管、政府合同、补贴、税收优惠、许可和出口限制。,哪些政府行为与政策约束正在改变公司机会和风险？,政策雷达 + 地域热图 + 合同/补贴流,focus_entity_id; jurisdiction; policy_type; period,合同; 补贴; 监管事件; 限制; 政策暴露分,按司法辖区筛选; 查看政策文本; 比较变化,government_agency; policy; regulation; contract; grant; tax_credit; license,policy_events; government_contracts; relationships; evidence_items,/v1/entities/{entityId}/policy;/v1/policies,P0,DONE,PARTIAL,NOT_STARTED,"T503,T802,T805",A069-A071;A111;A137-A140,"R005,R012,R040",docs/05_DATA_SOURCES_AND_PROVENANCE.md
FUN-EXP-07,探索,70,战略信号,Strategic Signals,把资本开支、人才、专利、产品、合同、合作与政策信号转化为可解释研究假设。,公司下一阶段可能在押注哪些能力、行业和基础设施？,信号轨迹 + 主题动量 + 反证面板,focus_entity_id; signal_window; source_types; confidence_floor,战略主题; 动量; 反证; 置信度; 贡献项,切换窗口; 查看贡献; 查看反证; 建立研究假设,signal; event; theme; patent; hiring_cluster; capex_program; product,events; strategic_signals; score_results; evidence_items,/v1/entities/{entityId}/signals;/v1/scoring/explain/{objectType}/{objectId},P0,DONE,PARTIAL,NOT_STARTED,"T504,T803,T805",A072;A112;A160;A174,"R013,R014,R041",docs/15_SCORING_MODEL_AND_USER_TUNING.md
FUN-EXP-08,探索,80,行业地图,Industry Landscape,以行业价值链和角色定位发现公司，再进入递归主体研究。,行业各阶段有哪些关键公司、集中度和跨行业连接？,行业价值链地图 + 集中度矩阵,industry_id; region; stage; metric; model_profile,行业角色; 公司排名; 集中度; 跨行业桥接,筛选行业; 选择公司; 加入 Watchlist; 进入商业版图,industry; sector; company; supply_chain_stage; market,industries; industry_memberships; entities; score_results,/v1/industries;/v1/industries/{industryId}/landscape,P1,DONE,PARTIAL,PARTIAL,"T202,T302,T305,T409,T1120",A019;A031-A034;A135;A189,"R006,R042",docs/12_RESEARCH_UNIVERSE_SOURCE_METRICS_SCREENING.md
FUN-RM-01,研究管理,90,Watchlist,Watchlist,保存重点研究对象、分组、优先级和未读变化。,我正在持续跟踪哪些公司、行业和关系？,对象列表 + 变化气泡 + 优先级条,user_state; watchlist_items; score_snapshot,关注对象; 分组; 未读变化; 默认入口,添加; 移除; 分组; 排序; 搜索; 进入主体,watchlist; company; industry; saved_view,watchlists; watchlist_items; change_events; entities,/v1/watchlists;/v1/home;/v1/entities,P0,DONE,DONE,PARTIAL,"T203,T300,T301,T303,T304,T306,T1102,T1120",A029-A030;A035-A040;A133-A135,R015,docs/14_DEFAULT_HOME_AND_INTERACTION_SPEC.md
FUN-RM-02,研究管理,100,重要变化,Material Changes,对比快照，显示新增、删除、增强、减弱、冲突和过期关系。,与上次研究相比，什么发生了实质变化？,变化时间轴 + 前后差异图,data_snapshot_id; comparison_snapshot_id; watchlist,变化清单; 差异关系; 告警; 复核任务,前后比较; 标记已读; 打开证据; 进入主体,change_event; relationship; entity; evidence; alert,change_events; snapshots; relationships; operation_logs,/v1/changes;/v1/snapshots/compare,P0,DONE,PARTIAL,PARTIAL,"T705,T804,T1113",A105-A107;A160,"R016,R043",docs/25_LIVE_RECALCULATION_REFRESH_ARCHITECTURE.md
FUN-RM-03,研究管理,110,已保存视图,Saved Views,保存并恢复主体、镜头、时间、筛选、路径、布局和研究注释。,如何准确恢复某次研究现场？,场景缩略图 + 探索路径,analysis_context; viewport; notes,版本化场景; 分享链接; 可复现状态,保存; 命名; 恢复; 复制; 导出,saved_view; exploration_session; annotation,saved_views; exploration_sessions; exploration_steps,/v1/saved-views,P0,DONE,DONE,PARTIAL,"T401,T404,T1110,T1111,T1112,T1305",A049-A051;A154-A159;A207,R017,docs/21_INTERACTION_STATE_AND_NAVIGATION.md
FUN-DM-01,数据与模型,120,数据库与来源,Data Assets and Provenance,以数据库对象、ERD、数据血缘、来源健康和证据定位展示真实数据底座。,数据存在哪里、从哪里来、何时更新、能否追溯？,ERD + 数据血缘 + 来源健康矩阵 + 表详情,schema; table; source; snapshot; entity_id,表/字段; 行数; 数据版本; 来源; 新鲜度; 血缘,检索表; 查看字段; 查看血缘; 打开来源; 触发同步,data_source; source_snapshot; evidence; schema; table; field; data_snapshot,source_registry; raw_snapshots; evidence_items; entities; relationships; operation_logs,/v1/data/catalog;/v1/data/lineage;/v1/sources;/v1/source-health,P0,DONE,DONE,NOT_STARTED,"T200,T206,T207,T700-T706,T1207,T1300,T1301,T1304",A011-A028;A096-A107;A197;A201;A202;A206,"R001,R002,R018,R044",docs/26_DATABASE_FIRST_DATA_WORKBENCH.md
FUN-DM-02,数据与模型,130,模型与参数,Models and Parameters,查看公式、参数、权重、阈值、半衰期与影响，并支持在线或文件修改。,分数如何计算，修改参数后全体可视化会怎样变化？,公式图 + 权重图 + 阈值仪表 + 影响预览,model_definition; profile_version; parameter_patch; analysis_context,草稿预览; 配置版本; 分数快照; 解释; diff,查看公式; 调整; 导入/导出; 预览; 激活; 回滚; 重算入队/执行; 恢复默认,model_definition; formula; parameter; threshold; profile_version; score_snapshot,model_definitions; formula_definitions; parameter_versions; score_results; operation_logs; background_jobs; transactional_outbox,/v1/scoring/models;/v1/scoring/profiles;/v1/scoring/active-context;/v1/scoring/preview;/v1/scoring/profiles/{profileVersionId}/activate;/v1/scoring/profiles/{profileVersionId}/rollback;/v1/scoring/recompute,P0,DONE,DONE,PARTIAL,"T600-T604,T1203,T1204,T1205,T1206,T1302,T1303,T1304",A076-A089;A173-A179;A198;A203;A204;A205;A206,"R019,R020,R035,R045,R046",MODEL_MANAGEMENT.md
FUN-DM-03,数据与模型,140,操作日志,Operation Log,记录数据、模型、关系审核、校准、导出和回滚的不可变变更。,谁在何时修改了什么，影响了哪些对象和版本？,审计时间轴 + 前后 diff + 影响范围,operation_type; actor; period; object_id,old/new/diff; reason; result; version linkage,筛选; 查看 diff; 导出; 跳转到版本,operation_log; model_version; data_snapshot; calibration_run,operation_logs; transactional_outbox; configuration_versions,/v1/audit-logs,P0,DONE,DONE,NOT_STARTED,"T604,T608,T1206,T1303,T1304",A087-A089;A179;A204;A205;A206,"R021,R046",docs/16_OPERATION_LOG_AND_BIWEEKLY_CALIBRATION.md
FUN-DM-04,数据与模型,150,双周校准,Biweekly Calibration,每 14 天检查覆盖率、漂移、稳定性和质量，只提出建议，不自动覆盖。,模型是否漂移、哪些参数需要人工复核？,漂移雷达 + Top-N 稳定矩阵 + 建议 diff,active_profile; historical_scores; labels; coverage,校准报告; 参数建议; 接受/拒绝记录,运行; 查看; 接受; 拒绝; 回滚,calibration_run; calibration_proposal; score_snapshot; model_profile,calibration_runs; calibration_proposals; score_snapshots; operation_logs,/v1/calibrations;/v1/calibrations/run;/v1/calibrations/{calibrationId}/accept-proposal,P1,DONE,PARTIAL,NOT_STARTED,T605-T608,A090-A095,"R022,R047",docs/16_OPERATION_LOG_AND_BIWEEKLY_CALIBRATION.md
FUN-SYS-01,系统治理,160,功能结构,System Function Architecture,用可视化架构展示所有板块、服务、数据、模型、接口和依赖。,系统有哪些能力，它们如何连接？,四层架构图 + 功能矩阵 + 依赖流,function_catalog; architecture_catalog; API contracts,功能结构; 依赖; 数据流; 接口映射,打开功能; 查看文档; 导出架构; 跳转任务,function; service; API; data_table; release_gate,function_catalog; navigation_catalog; traceability_matrix,/v1/system/functions;/v1/system/architecture,P0,DONE,DONE,PARTIAL,"T1200,T1201,T1213,T1308",A169-A172;A199;A211,"R035,R048",FUNCTION_CATALOG.md
FUN-SYS-02,系统治理,170,开发治理,Development Governance,统一展示任务状态、已解决/未解决、风险、控制、验收和发布门禁。,现在完成了什么、未完成什么、有什么风险、如何验收？,状态看板 + 追踪链 + 风险矩阵 + 门禁进度,task_backlog; acceptance_matrix; risk_register; release_gates,进度; open issues; 风险; 验收证据; 发布状态,筛选; 打开任务; 创建 Issue; 查看验收; 导出报告,task; acceptance; risk; control; decision; release_gate,development_status_ledger; acceptance_traceability; risk_control_traceability,/v1/governance/status;/v1/governance/traceability,P0,DONE,DONE,PARTIAL,"T1205,T1208,T1211,T1212,T1213,T1214,T1215,T1306,T1307,T1309",A173-A174;A180-A186;A199-A200;A208;A209;A210,"R035,R048,R049",DEVELOPMENT_STATUS.md
