parameter_id,model_id,formula_id,symbol,name,category,data_type,unit,default_value,initial_or_prior_value,active_value,weight,weight_group,weight_group_target,weight_group_tolerance,min_value,max_value,formula_or_transform,source_or_rationale,calibration_method,sensitivity,code_ref,config_ref,test_ref,status,fact_level,unknown_task_ids,parameter_version,last_updated,source_selector,extracted_value,last_verified_commit,verified_at,evidence_hash
PARAM-001,MOD-001,FORM-001,weights.supply_chain_criticality,供应链关键性,综合权重,number,ratio,0.24,0.24,0.24,0.24,WG-FORM-001-TOP-LEVEL,1.0,0.0001,0,0.7,FORM-001,EXTRACTED from EEI/data/parameter_catalog.csv:2; legacy validation=all weights sum 1.0 ± 0.0001; live_preview=True; refresh=all_loaded_views,NOT_APPLICABLE: no empirical calibration evidence in current governance baseline,step=0.01; validation=all weights sum 1.0 ± 0.0001,EEI/data/parameter_catalog.csv:2; EEI/scripts/validate_governance.py:108-121,EEI/config/model_profiles/balanced-v2.json; EEI/config/model_runtime_defaults.yaml,EEI/scripts/validate_model_config.py; EEI/scripts/validate_governance.py,active,EXTRACTED,,balanced-v2@2,2026-06-20,csv_cell:EEI/data/parameter_catalog.csv::parameter_key=weights.supply_chain_criticality::default_value,0.24,810ea9fd0beb6d0aebdb4b40fcb55b53c2d81104,2026-06-21T06:20:00Z,sha256:f1130e51beb24bfff1e6ef34b8b2f748e12dac7e7130f8e64a07d9c845c333cb
PARAM-002,MOD-001,FORM-001,weights.strategic_dependency,战略依赖,综合权重,number,ratio,0.18,0.18,0.18,0.18,WG-FORM-001-TOP-LEVEL,1.0,0.0001,0,0.7,FORM-001,EXTRACTED from EEI/data/parameter_catalog.csv:3; legacy validation=all weights sum 1.0 ± 0.0001; live_preview=True; refresh=all_loaded_views,NOT_APPLICABLE: no empirical calibration evidence in current governance baseline,step=0.01; validation=all weights sum 1.0 ± 0.0001,EEI/data/parameter_catalog.csv:3; EEI/scripts/validate_governance.py:108-121,EEI/config/model_profiles/balanced-v2.json; EEI/config/model_runtime_defaults.yaml,EEI/scripts/validate_model_config.py; EEI/scripts/validate_governance.py,active,EXTRACTED,,balanced-v2@2,2026-06-20,csv_cell:EEI/data/parameter_catalog.csv::parameter_key=weights.strategic_dependency::default_value,0.18,810ea9fd0beb6d0aebdb4b40fcb55b53c2d81104,2026-06-21T06:20:00Z,sha256:c70108062ea016f6a0075b24f083c27826108bf9ae72011cf6e247483ae2ace6
PARAM-003,MOD-001,FORM-001,weights.capital_momentum,资本动量,综合权重,number,ratio,0.14,0.14,0.14,0.14,WG-FORM-001-TOP-LEVEL,1.0,0.0001,0,0.7,FORM-001,EXTRACTED from EEI/data/parameter_catalog.csv:4; legacy validation=all weights sum 1.0 ± 0.0001; live_preview=True; refresh=all_loaded_views,NOT_APPLICABLE: no empirical calibration evidence in current governance baseline,step=0.01; validation=all weights sum 1.0 ± 0.0001,EEI/data/parameter_catalog.csv:4; EEI/scripts/validate_governance.py:108-121,EEI/config/model_profiles/balanced-v2.json; EEI/config/model_runtime_defaults.yaml,EEI/scripts/validate_model_config.py; EEI/scripts/validate_governance.py,active,EXTRACTED,,balanced-v2@2,2026-06-20,csv_cell:EEI/data/parameter_catalog.csv::parameter_key=weights.capital_momentum::default_value,0.14,810ea9fd0beb6d0aebdb4b40fcb55b53c2d81104,2026-06-21T06:20:00Z,sha256:cb69f3ace99cb236d66b2643ee59e78d1b5c8461da4948fa775e1976fed698fe
PARAM-004,MOD-001,FORM-001,weights.control_influence,控制影响,综合权重,number,ratio,0.12,0.12,0.12,0.12,WG-FORM-001-TOP-LEVEL,1.0,0.0001,0,0.7,FORM-001,EXTRACTED from EEI/data/parameter_catalog.csv:5; legacy validation=all weights sum 1.0 ± 0.0001; live_preview=True; refresh=all_loaded_views,NOT_APPLICABLE: no empirical calibration evidence in current governance baseline,step=0.01; validation=all weights sum 1.0 ± 0.0001,EEI/data/parameter_catalog.csv:5; EEI/scripts/validate_governance.py:108-121,EEI/config/model_profiles/balanced-v2.json; EEI/config/model_runtime_defaults.yaml,EEI/scripts/validate_model_config.py; EEI/scripts/validate_governance.py,active,EXTRACTED,,balanced-v2@2,2026-06-20,csv_cell:EEI/data/parameter_catalog.csv::parameter_key=weights.control_influence::default_value,0.12,810ea9fd0beb6d0aebdb4b40fcb55b53c2d81104,2026-06-21T06:20:00Z,sha256:ba9ccbb8f676b3a21c4ddcca139cbdecfd5a4effe9b67983696a6d0e7299b50f
PARAM-005,MOD-001,FORM-001,weights.policy_exposure,政策暴露,综合权重,number,ratio,0.1,0.1,0.1,0.1,WG-FORM-001-TOP-LEVEL,1.0,0.0001,0,0.7,FORM-001,EXTRACTED from EEI/data/parameter_catalog.csv:6; legacy validation=all weights sum 1.0 ± 0.0001; live_preview=True; refresh=all_loaded_views,NOT_APPLICABLE: no empirical calibration evidence in current governance baseline,step=0.01; validation=all weights sum 1.0 ± 0.0001,EEI/data/parameter_catalog.csv:6; EEI/scripts/validate_governance.py:108-121,EEI/config/model_profiles/balanced-v2.json; EEI/config/model_runtime_defaults.yaml,EEI/scripts/validate_model_config.py; EEI/scripts/validate_governance.py,active,EXTRACTED,,balanced-v2@2,2026-06-20,csv_cell:EEI/data/parameter_catalog.csv::parameter_key=weights.policy_exposure::default_value,0.1,810ea9fd0beb6d0aebdb4b40fcb55b53c2d81104,2026-06-21T06:20:00Z,sha256:1f9dd16fe3c93a8aaca8ac1b62b3b7912ff5e27f272aaaf7fde490562211168f
PARAM-006,MOD-001,FORM-001,weights.technology_dependency,技术依赖,综合权重,number,ratio,0.08,0.08,0.08,0.08,WG-FORM-001-TOP-LEVEL,1.0,0.0001,0,0.7,FORM-001,EXTRACTED from EEI/data/parameter_catalog.csv:7; legacy validation=all weights sum 1.0 ± 0.0001; live_preview=True; refresh=all_loaded_views,NOT_APPLICABLE: no empirical calibration evidence in current governance baseline,step=0.01; validation=all weights sum 1.0 ± 0.0001,EEI/data/parameter_catalog.csv:7; EEI/scripts/validate_governance.py:108-121,EEI/config/model_profiles/balanced-v2.json; EEI/config/model_runtime_defaults.yaml,EEI/scripts/validate_model_config.py; EEI/scripts/validate_governance.py,active,EXTRACTED,,balanced-v2@2,2026-06-20,csv_cell:EEI/data/parameter_catalog.csv::parameter_key=weights.technology_dependency::default_value,0.08,810ea9fd0beb6d0aebdb4b40fcb55b53c2d81104,2026-06-21T06:20:00Z,sha256:de5ea16731e82dc696b65cb727c7da0929198a92fc3c2560ad492bccdcab6c23
PARAM-007,MOD-001,FORM-001,weights.strategic_signal,战略信号,综合权重,number,ratio,0.08,0.08,0.08,0.08,WG-FORM-001-TOP-LEVEL,1.0,0.0001,0,0.7,FORM-001,EXTRACTED from EEI/data/parameter_catalog.csv:8; legacy validation=all weights sum 1.0 ± 0.0001; live_preview=True; refresh=all_loaded_views,NOT_APPLICABLE: no empirical calibration evidence in current governance baseline,step=0.01; validation=all weights sum 1.0 ± 0.0001,EEI/data/parameter_catalog.csv:8; EEI/scripts/validate_governance.py:108-121,EEI/config/model_profiles/balanced-v2.json; EEI/config/model_runtime_defaults.yaml,EEI/scripts/validate_model_config.py; EEI/scripts/validate_governance.py,active,EXTRACTED,,balanced-v2@2,2026-06-20,csv_cell:EEI/data/parameter_catalog.csv::parameter_key=weights.strategic_signal::default_value,0.08,810ea9fd0beb6d0aebdb4b40fcb55b53c2d81104,2026-06-21T06:20:00Z,sha256:000c557d41eaee2466a4669df7e812a6b0d84c3ba160b4bf688cc35882ed7432
PARAM-008,MOD-001,FORM-001,weights.time_relevance,时间相关性,综合权重,number,ratio,0.06,0.06,0.06,0.06,WG-FORM-001-TOP-LEVEL,1.0,0.0001,0,0.7,FORM-001,EXTRACTED from EEI/data/parameter_catalog.csv:9; legacy validation=all weights sum 1.0 ± 0.0001; live_preview=True; refresh=all_loaded_views,NOT_APPLICABLE: no empirical calibration evidence in current governance baseline,step=0.01; validation=all weights sum 1.0 ± 0.0001,EEI/data/parameter_catalog.csv:9; EEI/scripts/validate_governance.py:108-121,EEI/config/model_profiles/balanced-v2.json; EEI/config/model_runtime_defaults.yaml,EEI/scripts/validate_model_config.py; EEI/scripts/validate_governance.py,active,EXTRACTED,,balanced-v2@2,2026-06-20,csv_cell:EEI/data/parameter_catalog.csv::parameter_key=weights.time_relevance::default_value,0.06,810ea9fd0beb6d0aebdb4b40fcb55b53c2d81104,2026-06-21T06:20:00Z,sha256:caa63b7a61dcfd5f25c9cc531bf721d68fd26940ae89b84edddc5eb7381a6dfe
PARAM-009,MOD-001,FORM-001,quality_adjustment.floor,证据质量最低修正,质量修正,number,ratio,0.45,0.45,0.45,0.45,WG-FORM-001-QUALITY-ADJUSTMENT,1.0,0.0001,0,1,FORM-001,EXTRACTED from EEI/data/parameter_catalog.csv:10; legacy validation=pair sums 1.0; live_preview=True; refresh=all_loaded_views,NOT_APPLICABLE: no empirical calibration evidence in current governance baseline,step=0.01; validation=pair sums 1.0,EEI/data/parameter_catalog.csv:10; EEI/scripts/validate_governance.py:108-121,EEI/config/model_profiles/balanced-v2.json; EEI/config/model_runtime_defaults.yaml,EEI/scripts/validate_model_config.py; EEI/scripts/validate_governance.py,active,EXTRACTED,,balanced-v2@2,2026-06-20,csv_cell:EEI/data/parameter_catalog.csv::parameter_key=quality_adjustment.floor::default_value,0.45,810ea9fd0beb6d0aebdb4b40fcb55b53c2d81104,2026-06-21T06:20:00Z,sha256:748c3782f3e2f82ef849516fba73a2c39205c23dd9b00e67691a9982d38be933
PARAM-010,MOD-001,FORM-001,quality_adjustment.evidence_weight,证据质量修正权重,质量修正,number,ratio,0.55,0.55,0.55,0.55,WG-FORM-001-QUALITY-ADJUSTMENT,1.0,0.0001,0,1,FORM-001,EXTRACTED from EEI/data/parameter_catalog.csv:11; legacy validation=pair sums 1.0; live_preview=True; refresh=all_loaded_views,NOT_APPLICABLE: no empirical calibration evidence in current governance baseline,step=0.01; validation=pair sums 1.0,EEI/data/parameter_catalog.csv:11; EEI/scripts/validate_governance.py:108-121,EEI/config/model_profiles/balanced-v2.json; EEI/config/model_runtime_defaults.yaml,EEI/scripts/validate_model_config.py; EEI/scripts/validate_governance.py,active,EXTRACTED,,balanced-v2@2,2026-06-20,csv_cell:EEI/data/parameter_catalog.csv::parameter_key=quality_adjustment.evidence_weight::default_value,0.55,810ea9fd0beb6d0aebdb4b40fcb55b53c2d81104,2026-06-21T06:20:00Z,sha256:8f7e12aa4a0a7f372f79da653c25deb3fc3364383b8ec71c03f9f83fbae0f3ea
PARAM-011,MOD-001,FORM-001,coverage_adjustment.floor,覆盖率最低修正,质量修正,number,ratio,0.65,0.65,0.65,0.65,WG-FORM-001-COVERAGE-ADJUSTMENT,1.0,0.0001,0,1,FORM-001,EXTRACTED from EEI/data/parameter_catalog.csv:12; legacy validation=pair sums 1.0; live_preview=True; refresh=all_loaded_views,NOT_APPLICABLE: no empirical calibration evidence in current governance baseline,step=0.01; validation=pair sums 1.0,EEI/data/parameter_catalog.csv:12; EEI/scripts/validate_governance.py:108-121,EEI/config/model_profiles/balanced-v2.json; EEI/config/model_runtime_defaults.yaml,EEI/scripts/validate_model_config.py; EEI/scripts/validate_governance.py,active,EXTRACTED,,balanced-v2@2,2026-06-20,csv_cell:EEI/data/parameter_catalog.csv::parameter_key=coverage_adjustment.floor::default_value,0.65,810ea9fd0beb6d0aebdb4b40fcb55b53c2d81104,2026-06-21T06:20:00Z,sha256:85ffaaa5ba12c253a942c29d44273838b8e50304e051bf5292f174b9fd9cf79f
PARAM-012,MOD-001,FORM-001,coverage_adjustment.coverage_weight,覆盖率修正权重,质量修正,number,ratio,0.35,0.35,0.35,0.35,WG-FORM-001-COVERAGE-ADJUSTMENT,1.0,0.0001,0,1,FORM-001,EXTRACTED from EEI/data/parameter_catalog.csv:13; legacy validation=pair sums 1.0; live_preview=True; refresh=all_loaded_views,NOT_APPLICABLE: no empirical calibration evidence in current governance baseline,step=0.01; validation=pair sums 1.0,EEI/data/parameter_catalog.csv:13; EEI/scripts/validate_governance.py:108-121,EEI/config/model_profiles/balanced-v2.json; EEI/config/model_runtime_defaults.yaml,EEI/scripts/validate_model_config.py; EEI/scripts/validate_governance.py,active,EXTRACTED,,balanced-v2@2,2026-06-20,csv_cell:EEI/data/parameter_catalog.csv::parameter_key=coverage_adjustment.coverage_weight::default_value,0.35,810ea9fd0beb6d0aebdb4b40fcb55b53c2d81104,2026-06-21T06:20:00Z,sha256:26eaa95182fe1c0a1ce64d5dc0b50b1501303f5858e3e7c291932eb10ac614cd
PARAM-013,MOD-003,FORM-003,half_life_days.control_change,控制变化,时间半衰期,number,days,730,730,730,,,,,30,1825,FORM-003,EXTRACTED from EEI/data/parameter_catalog.csv:14; legacy validation=positive integer; live_preview=True; refresh=all_loaded_views,NOT_APPLICABLE: no empirical calibration evidence in current governance baseline,step=1; validation=positive integer,EEI/data/parameter_catalog.csv:14; EEI/scripts/validate_governance.py:108-121,EEI/config/model_profiles/balanced-v2.json; EEI/config/model_runtime_defaults.yaml,EEI/scripts/validate_model_config.py; EEI/scripts/validate_governance.py,active,EXTRACTED,,balanced-v2@2,2026-06-20,csv_cell:EEI/data/parameter_catalog.csv::parameter_key=half_life_days.control_change::default_value,730,810ea9fd0beb6d0aebdb4b40fcb55b53c2d81104,2026-06-21T06:20:00Z,sha256:54d434872a18ced8bbf2166c8971d670e9eaf87e5551556cef377cdfdddbf597
PARAM-014,MOD-003,FORM-003,half_life_days.mna,并购,时间半衰期,number,days,730,730,730,,,,,30,1825,FORM-003,EXTRACTED from EEI/data/parameter_catalog.csv:15; legacy validation=positive integer; live_preview=True; refresh=all_loaded_views,NOT_APPLICABLE: no empirical calibration evidence in current governance baseline,step=1; validation=positive integer,EEI/data/parameter_catalog.csv:15; EEI/scripts/validate_governance.py:108-121,EEI/config/model_profiles/balanced-v2.json; EEI/config/model_runtime_defaults.yaml,EEI/scripts/validate_model_config.py; EEI/scripts/validate_governance.py,active,EXTRACTED,,balanced-v2@2,2026-06-20,csv_cell:EEI/data/parameter_catalog.csv::parameter_key=half_life_days.mna::default_value,730,810ea9fd0beb6d0aebdb4b40fcb55b53c2d81104,2026-06-21T06:20:00Z,sha256:a040e94d1fa457ea3bf828d3a06115efabb261a1130fdcbad87650eeb3d55cdb
PARAM-015,MOD-003,FORM-003,half_life_days.long_term_supply,长期供应合同,时间半衰期,number,days,540,540,540,,,,,30,1825,FORM-003,EXTRACTED from EEI/data/parameter_catalog.csv:16; legacy validation=positive integer; live_preview=True; refresh=all_loaded_views,NOT_APPLICABLE: no empirical calibration evidence in current governance baseline,step=1; validation=positive integer,EEI/data/parameter_catalog.csv:16; EEI/scripts/validate_governance.py:108-121,EEI/config/model_profiles/balanced-v2.json; EEI/config/model_runtime_defaults.yaml,EEI/scripts/validate_model_config.py; EEI/scripts/validate_governance.py,active,EXTRACTED,,balanced-v2@2,2026-06-20,csv_cell:EEI/data/parameter_catalog.csv::parameter_key=half_life_days.long_term_supply::default_value,540,810ea9fd0beb6d0aebdb4b40fcb55b53c2d81104,2026-06-21T06:20:00Z,sha256:7b1b5b21eea698622c9c16425da20d44d389bc6098bb41b9a50931d0d8e83b44
PARAM-016,MOD-003,FORM-003,half_life_days.capex_financing,资本开支与融资,时间半衰期,number,days,365,365,365,,,,,30,1825,FORM-003,EXTRACTED from EEI/data/parameter_catalog.csv:17; legacy validation=positive integer; live_preview=True; refresh=all_loaded_views,NOT_APPLICABLE: no empirical calibration evidence in current governance baseline,step=1; validation=positive integer,EEI/data/parameter_catalog.csv:17; EEI/scripts/validate_governance.py:108-121,EEI/config/model_profiles/balanced-v2.json; EEI/config/model_runtime_defaults.yaml,EEI/scripts/validate_model_config.py; EEI/scripts/validate_governance.py,active,EXTRACTED,,balanced-v2@2,2026-06-20,csv_cell:EEI/data/parameter_catalog.csv::parameter_key=half_life_days.capex_financing::default_value,365,810ea9fd0beb6d0aebdb4b40fcb55b53c2d81104,2026-06-21T06:20:00Z,sha256:ce8fb165a678734dbb2862af0f008e0ef833df07b20f6bcc6905f36c67d24a04
PARAM-017,MOD-003,FORM-003,half_life_days.policy_regulatory,政策监管,时间半衰期,number,days,270,270,270,,,,,30,1825,FORM-003,EXTRACTED from EEI/data/parameter_catalog.csv:18; legacy validation=positive integer; live_preview=True; refresh=all_loaded_views,NOT_APPLICABLE: no empirical calibration evidence in current governance baseline,step=1; validation=positive integer,EEI/data/parameter_catalog.csv:18; EEI/scripts/validate_governance.py:108-121,EEI/config/model_profiles/balanced-v2.json; EEI/config/model_runtime_defaults.yaml,EEI/scripts/validate_model_config.py; EEI/scripts/validate_governance.py,active,EXTRACTED,,balanced-v2@2,2026-06-20,csv_cell:EEI/data/parameter_catalog.csv::parameter_key=half_life_days.policy_regulatory::default_value,270,810ea9fd0beb6d0aebdb4b40fcb55b53c2d81104,2026-06-21T06:20:00Z,sha256:16044c4f8ca7df0340823439d2f69575f92823196b40b7f522b7ad953c03f534
PARAM-018,MOD-003,FORM-003,half_life_days.product_partnership,产品与合作,时间半衰期,number,days,180,180,180,,,,,30,1825,FORM-003,EXTRACTED from EEI/data/parameter_catalog.csv:19; legacy validation=positive integer; live_preview=True; refresh=all_loaded_views,NOT_APPLICABLE: no empirical calibration evidence in current governance baseline,step=1; validation=positive integer,EEI/data/parameter_catalog.csv:19; EEI/scripts/validate_governance.py:108-121,EEI/config/model_profiles/balanced-v2.json; EEI/config/model_runtime_defaults.yaml,EEI/scripts/validate_model_config.py; EEI/scripts/validate_governance.py,active,EXTRACTED,,balanced-v2@2,2026-06-20,csv_cell:EEI/data/parameter_catalog.csv::parameter_key=half_life_days.product_partnership::default_value,180,810ea9fd0beb6d0aebdb4b40fcb55b53c2d81104,2026-06-21T06:20:00Z,sha256:261bc193141af46be4a3f41b9502e70f54ddd1784ab665b3fb1b6967bc474eda
PARAM-019,MOD-003,FORM-003,half_life_days.news_lead,新闻线索,时间半衰期,number,days,90,90,90,,,,,30,1825,FORM-003,EXTRACTED from EEI/data/parameter_catalog.csv:20; legacy validation=positive integer; live_preview=True; refresh=all_loaded_views,NOT_APPLICABLE: no empirical calibration evidence in current governance baseline,step=1; validation=positive integer,EEI/data/parameter_catalog.csv:20; EEI/scripts/validate_governance.py:108-121,EEI/config/model_profiles/balanced-v2.json; EEI/config/model_runtime_defaults.yaml,EEI/scripts/validate_model_config.py; EEI/scripts/validate_governance.py,active,EXTRACTED,,balanced-v2@2,2026-06-20,csv_cell:EEI/data/parameter_catalog.csv::parameter_key=half_life_days.news_lead::default_value,90,810ea9fd0beb6d0aebdb4b40fcb55b53c2d81104,2026-06-21T06:20:00Z,sha256:dc7322270a498e8f3b640652bb0620b8a1b2d20f5feaed72b1abfd42b55b8248
PARAM-020,MOD-002,FORM-002,evidence.publish_min_evidence_count,正式关系最少证据数,证据门槛,number,count,1,1,1,,,,,1,10,FORM-002,EXTRACTED from EEI/data/parameter_catalog.csv:21; legacy validation=schema range; live_preview=True; refresh=graph+inspector+alerts,NOT_APPLICABLE: no empirical calibration evidence in current governance baseline,step=1; validation=schema range,EEI/data/parameter_catalog.csv:21; EEI/scripts/validate_governance.py:108-121,EEI/config/thresholds/default-v2.json; EEI/config/model_runtime_defaults.yaml,EEI/scripts/validate_model_config.py; EEI/scripts/validate_governance.py,active,EXTRACTED,,default-v2@2,2026-06-20,csv_cell:EEI/data/parameter_catalog.csv::parameter_key=evidence.publish_min_evidence_count::default_value,1,810ea9fd0beb6d0aebdb4b40fcb55b53c2d81104,2026-06-21T06:20:00Z,sha256:24016162f7752e9890e964d3feb2634761d31d6ebafb9c2963cbd8feda16a9f5
